idx,latency_ms
796,1.620565
797,1.627594
798,1.621118
799,1.616513
800,1.613159
801,1.621702
802,1.616833
803,1.623157
804,1.627214
805,1.624594
806,1.625442
807,1.623017
808,1.630735
809,1.626929
810,1.637425
811,1.624991
812,1.636401
813,1.636327
814,1.628029
815,1.629194
816,1.623821
817,1.625525
818,1.624444
819,1.621034
820,1.621283
821,1.624124
822,1.643611
823,1.656569
824,1.636375
825,1.640237
826,1.626154
827,1.644171
828,1.628303
829,1.613532
830,1.621395
831,1.622725
832,1.620404
833,1.626036
834,1.622896
835,1.624486
836,1.622832
837,1.621529
838,1.622880
839,1.624176
840,1.625313
841,1.650430
842,1.625538
843,1.630959
844,1.622133
845,1.620225
846,1.629005
847,1.622209
848,1.621832
849,1.630845
850,1.617889
851,1.632486
852,1.625549
853,1.614712
854,1.622847
855,1.626443
856,1.618212
857,1.619041
858,1.625432
859,1.620897
860,1.623773
861,1.619202
862,1.627271
863,1.625316
864,1.618168
865,1.704147
866,1.628252
867,1.650753
868,1.670235
869,1.635433
870,1.659471
871,1.617201
872,1.627122
873,1.630568
874,1.638683
875,1.638298
876,1.629438
877,1.625793
878,1.629903
879,1.617770
880,1.631470
881,1.642038
882,1.636505
883,1.628510
884,1.626800
885,1.626630
886,1.629302
887,1.626966
888,1.623945
889,1.629398
890,1.640337
891,1.619539
892,1.646962
893,1.631645
894,1.630819
895,1.617490
896,1.619523
897,1.621904
898,1.624014
899,1.621284
900,1.623691
901,1.616364
902,1.630556
903,1.631226
904,1.635731
905,1.624744
906,1.624954
907,1.622901
908,1.629133
909,1.627403
910,1.622251
911,1.624517
912,1.614650
913,1.621098
914,1.629781
915,1.620603
916,1.622311
917,1.636794
918,1.621127
919,1.620694
920,1.614877
921,1.628405
922,1.623384
923,1.627312
924,1.620159
925,1.627346
926,1.608013
927,1.625531
928,1.628001
929,1.622100
930,1.620313
931,1.625467
932,1.624468
933,1.616642
934,1.624162
935,1.620335
936,1.642178
937,1.629737
938,1.628869
939,1.624063
940,1.630523
941,1.627861
942,1.629286
943,1.625453
944,1.620871
945,1.625858
946,1.672718
947,1.634015
948,1.645732
949,1.649043
950,1.636583
951,1.627981
952,1.616364
953,1.628227
954,1.635204
955,1.617429
956,1.630703
957,1.622159
958,1.620516
959,1.629959
960,1.626941
961,1.620467
962,1.615915
963,1.617519
964,1.633586
965,1.640992
966,1.639939
967,1.620015
968,1.627766
969,1.617401
970,1.621409
971,1.640542
972,1.626311
973,1.625611
974,1.613929
975,1.624115
976,1.617517
977,1.612812
978,1.619268
979,1.612242
980,1.625612
981,1.617812
982,1.618903
983,1.619971
984,1.621722
985,1.610492
986,1.623866
987,1.619915
988,1.620950
989,1.624244
990,1.622110
991,1.635739
992,1.646529
993,1.628655
994,1.628263
995,1.632415
996,1.627245
997,1.622815
998,1.628218
999,1.627782
1000,1.617527
1001,1.617603
1002,1.621444
1003,1.614991
1004,1.614796
1005,1.630796
1006,1.619907
1007,1.619841
1008,1.614998
1009,1.614145
1010,1.609882
1011,1.613354
1012,1.621618
1013,1.626471
1014,1.624787
1015,1.625181
1016,1.625882
1017,1.627727
1018,1.622290
1019,1.612868
1020,1.622228
1021,1.616100
1022,1.634402
1023,1.638884
1024,1.631144
1025,1.624623
1026,1.617882
1027,1.619511
1028,1.632091
1029,1.623242
1030,1.617887
1031,1.621562
1032,1.629823
1033,1.634579
1034,1.628178
1035,1.625045
1036,1.623020
1037,1.627966
1038,1.618574
1039,1.661832
1040,1.633749
1041,1.623607
1042,1.618582
1043,1.625071
1044,1.629299
1045,1.624360
1046,1.635264
1047,1.623110
1048,1.626481
1049,1.620346
1050,1.630946
1051,1.623240
1052,1.625827
1053,1.640519
1054,1.626541
1055,1.622347
1056,1.627668
1057,1.623637
1058,1.619865
1059,1.628232
1060,1.633547
1061,1.622607
1062,1.628051
1063,1.622408
1064,1.625873
1065,1.632138
1066,1.624433
1067,1.619564
1068,1.618039
1069,1.661842
1070,1.639521
1071,1.633135
1072,1.661274
1073,1.632413
1074,1.627008
1075,1.639589
1076,1.620883
1077,1.623561
1078,1.631807
1079,1.645151
1080,1.616295
1081,1.621378
1082,1.616325
1083,1.622177
1084,1.629491
1085,1.627385
1086,1.619168
1087,1.631081
1088,1.625628
